открытие 14.09.2018;максимум 14.09.2018;минимум 14.09.2018;закрытие 14.09.2018;открытие 16.10.2018;максимум 16.10.2018;минимум 16.10.2018;закрытие 16.10.2018;открытие 14.11.2018;максимум 14.11.2018;минимум 14.11.2018;закрытие 14.11.2018;открытие 14.12.2018;максимум 14.12.2018;минимум 14.12.2018;закрытие 14.12.2018
107190;107280;107190;107280;114990;115000;114890;114910;109800;109830;109620;109650;111370;111450;111370;111440
107290;107380;107290;107340;114910;114940;114900;114920;109650;109710;109640;109650;111440;111510;111430;111510
107340;107350;107320;107320;114910;114950;114900;114930;109660;109740;109660;109680;111510;111510;111450;111490
107330;107330;107300;107300;114940;114960;114930;114930;109690;109730;109650;109670;111500;111530;111490;111510
107300;107300;107300;107300;114920;114950;114900;114910;109680;109700;109650;109680;111510;111510;111460;111480
107290;107290;107280;107280;114930;114930;114860;114870;109670;109720;109630;109670;111480;111500;111460;111460
107290;107320;107290;107320;114870;114900;114860;114880;109680;109740;109650;109670;111470;111480;111440;111440
107370;107380;107370;107380;114870;114930;114870;114900;109670;109690;109640;109660;111450;111530;111440;111460
107390;107480;107390;107470;114900;114930;114880;114910;109670;109710;109640;109710;111470;111540;111460;111500
107490;107600;107490;107600;114930;114970;114930;114950;109720;109730;109630;109640;111500;111500;111470;111480
107610;107630;107600;107600;114960;114980;114940;114960;109640;109800;109600;109800;111480;111510;111470;111480
107580;107580;107560;107560;114960;114980;114950;114960;109800;109820;109710;109730;111490;111490;111440;111480
107580;107580;107510;107510;114950;114950;114870;114900;109730;109920;109700;109750;111480;111480;111420;111430
107490;107530;107490;107490;114900;114900;114850;114880;109750;109770;109640;109650;111430;111430;111360;111420
107510;107510;107490;107490;114870;114890;114850;114890;109660;109710;109630;109700;111400;111420;111370;111370
107490;107490;107490;107490;114890;114960;114870;114940;109700;109740;109670;109700;111370;111400;111320;111370
107510;107510;107510;107510;114960;115050;114950;115020;109710;109740;109680;109720;111350;111370;111290;111290
107550;107550;107550;107550;115020;115030;114940;114950;109720;109720;109640;109640;111280;111320;111250;111300
107490;107490;107480;107480;114950;115020;114940;114990;109650;109670;109620;109650;111300;111350;111280;111290
107480;107480;107360;107360;114990;115010;114960;115010;109660;109740;109650;109700;111290;111340;111280;111340
